Year,Sex,Number of visas,Year1,Sex1,Number of visas1
2005,Femenino,1104.0,2005,Masculino,1083.0
2006,Femenino,1266.0,2006,Masculino,1347.0
2007,Femenino,1515.0,2007,Masculino,1659.0
2008,Femenino,1516.0,2008,Masculino,1708.0
2009,Femenino,1659.0,2009,Masculino,1800.0
2010,Femenino,1611.0,2010,Masculino,1738.0
2011,Femenino,1898.0,2011,Masculino,1950.0
2012,Femenino,2218.0,2012,Masculino,2303.0
2013,Femenino,2322.0,2013,Masculino,2489.0
2014,Femenino,3213.0,2014,Masculino,3495.0
2015,Femenino,3697.0,2015,Masculino,4318.0
2016,Femenino,4107.0,2016,Masculino,5369.0
